"fire_scar","site","old.site","date","year","latitude_at_0m","longitude_at_0m","latitude_at_30m","longitude_at_30m","elevation","slope","aspect","transect_orientation","dNBR","severity","ground_severity","moisture_class","pre_fire_vegetation","site_notes","site_photo_start","site_photo_end"
"Isom","Isom5",72,"7/24/2023",2023,65.835371,-149.628609,NA,NA,352,2,160,NA,0.57962840795517,NA,NA,"mesic-subhygric","Spruce stand with salix alder and betula ","Transect bearing is 68. Site located several hundred m north from dalton hwy. uniform burn pattern at site. Spruce stand is all dead at site with live stand just east of transect. Small depressions (<0.5m) present on transect and at site.",NA,NA
"Isom","Isom5",72,"8/8/2025",2025,65.835653,-149.628606,65.83566,-149.62859,383,2,270,360,0.609617054462433,2,2,"mesic-subhygric","Black spruce high density medium productivity ","Found old stake for site. Medium severity site. Site had moderate organic at about 20 cm. Permafrost was present at about 60 to 100 cm. No mineral was exposed. No spruce or deciduous regen. Mostly salix and betula shrub. ","e172757e-622d-459d-b19e-03f6684369ab","09129c46-e078-4673-9389-6d784b9ae883"
"Lost Horse","LoHo1",NA,"7/15/2024",2024,65.16865,-147.64185,NA,NA,675,8,145,83,0.883846640586853,1,2,"mesic-subxeric","Low density black spruce, willows, bene","Site set up by MM in spring 2034, has aluminum stakes as plot markers. No dnbr at time of sampling, nearest points are low and med. by eye, I would call this low/mid severity. Orientation of plot was 83 degrees","3d8df608-9a94-4d28-9ecc-4418930f1772","2d338da7-7fc1-4c7e-9743-7f6c1add521b"
"Lost Horse","LoHo2",NA,"7/15/2024",2024,65.16996,-147.64754,NA,NA,705,8,146,34,0.987519204616547,2,3,"mesic-subxeric","Mid sparse black spruce, willow","Site set up by MM, has aluminum posts, orientation at 34 degrees, cross slope ish, no exact dnbr, but closest to mod","f0f90983-957f-42b2-8268-1b7b76c74c95","5b0b9574-61f1-41fa-b389-3b9d757fb60f"
"Lost Horse","LoHo4",NA,"7/18/2024",2024,65.16282,-147.66177,NA,NA,702,4,89,0,0.89976966381073,2,3,"mesic-subhygric","Sparse black spruce, tall willows, bena ","Moderate to high severity burn. Patchy burning, some trees only half burnt, soil shows signs of burning more than trees do. Fallen trees were not counted in tree inventory","254fb8be-2cd3-4c0f-a4dc-951588e271a7","edacb65c-fca4-4a7b-b21b-4e1ad40eac8c"
"Lost Horse","LoHo5",NA,"7/18/2024",2024,65.16473,-147.66335,NA,NA,691,2,315,0,0.841102361679077,3,2,"mesic","Mid density Black spruce and willow, betula nana","Trees low severity burned, thick organics, limited understory vegetation, a lot of shrub resprouting. Fallen trees were not counted in tree inventory","1db59ca9-c00d-46ff-8749-b5b6a769feb0","bcdbc859-e3b7-4496-b15a-f6644ce0ea15"
"Lost Horse","LoHo6",NA,"7/18/2024",2024,65.16173,-147.66177,NA,NA,690,4,90,0,0.724942803382874,1,1,"subxeric","Low density black spruce, willow.","GPS and elevation taken from Gaia, not gps. Patches of low severity and unburned moss. Some areas of thick ash layer on top of organic (2-3 cm) particularly near trees. Infrequent shrub regeneration. Large trees and lots of fallen trees. Near area of unburned trees. ","d0d803df-612c-4c2b-b0d9-b7862022e4a1","e0a3e16a-5d30-4a01-a092-692255494992"
"Lost Horse","Loho3",NA,"7/15/2024",2024,65.16893,-147.65102,NA,NA,696,4,122,0,0.933948636054993,3,1,"mesic-subxeric","Black spruce and willow","Orientation north, 0. Low severity site, based on visual inspection. ","d5e2f931-7667-46f3-b2bb-09a4435a556b","30593d79-6afe-4088-98c6-6a36b7483830"
"McCoy Creek","McCr1",NA,"7/28/2024",2024,64.5078,-146.42619,NA,NA,298,0,0,83,0.551434993743896,2,2,"subhygric","Dense small black spruce, tussocks.","Lots of standing water. Sol thick, but obvious that fire moved through soil not through crown. Crowns of trees totally intact. Aluminum posts inserted by MM in fall 2023. Posts are slightly displaced from 30m, thever a slightly longer distance. Spruce seedlings common! Tussocks resprouting, though burned into pillars. ","08b7ef59-e294-4a10-bb2d-b2da872cee1d","3dee7f96-b961-4db2-9dd0-7c4e4f50e23b"
"McCoy Creek","McCr2",NA,"7/29/2024",2024,64.50567,-146.45302,NA,NA,243,0,0,54,0.522469937801361,2,2,"subhygric","Dense small black spruce and tussocks","Aluminum posts set up by Mario in fall 2023, difficult to access from river due to downed trees, trees mostly standing, crowns relatively intact, some standing water, some burned sphagnum hummocks, dead larch in area","f06878a9-4651-4bbd-8823-57debe44dfef,e2318f44-cd96-4d39-9f1a-ee803746887c","206af2b6-412a-459b-b6c1-edd3ae13db1a"
